full_name,email,roll_number,enrollment_number,section_id
Madhuri Sharma,madhuri.sharma106@outlook.com,EE24040,EN20240040,A
Shivani Madan,shivani.madan927@gmail.com,CH22957,EN20220957,C
Payal Chawla,payal.chawla133@gmail.com,CS24510,EN20240510,A
Ashish Garg,ashish.garg927@student.edu,EC20636,EN20200636,A
Ankita Kohli,ankita.kohli262@gmail.com,BT24231,EN20240231,C
Ishaan Yadav,ishaan.yadav380@student.edu,EE20882,EN20200882,B
Pallavi Saxena,pallavi.saxena722@gmail.com,EE24847,EN20240847,B
Shivani Reddy,shivani.reddy812@student.edu,IT23084,EN20230084,B
Harsh Yadava,harsh.yadava914@student.edu,CS22925,EN20220925,B
Divya Sharma,divya.sharma99@outlook.com,MA20275,EN20200275,A
Rohan Goyal,rohan.goyal352@gmail.com,PH21537,EN20210537,B
Ayesha Arora,ayesha.arora844@college.ac.in,CS21606,EN20210606,B
Monika Sharma,monika.sharma602@student.edu,PH21720,EN20210720,C
Usha Kohli,usha.kohli698@yahoo.com,MA23060,EN20230060,C
Pankaj Qureshi,pankaj.qureshi648@college.ac.in,BT23896,EN20230896,C
Ishaan Tripathi,ishaan.tripathi533@student.edu,MA24311,EN20240311,D
Ankit Shukla,ankit.shukla50@gmail.com,CH23242,EN20230242,B
Arvind Chopra,arvind.chopra692@gmail.com,BT24844,EN20240844,A
Seema Watts,seema.watts179@college.ac.in,CH24117,EN20240117,D
Sanjeev Naidu,sanjeev.naidu167@yahoo.com,CE20028,EN20200028,B
Himanshu Nair,himanshu.nair704@outlook.com,PH24356,EN20240356,A
Disha Oberoi,disha.oberoi588@student.edu,CE20051,EN20200051,A
Disha Gupta,disha.gupta192@gmail.com,CS22526,EN20220526,D
Sara Dey,sara.dey440@outlook.com,CS24109,EN20240109,A
Usha Jain,usha.jain613@yahoo.com,PH21717,EN20210717,A
Suresh Anand,suresh.anand647@college.ac.in,CE20293,EN20200293,D
Rahul Thakur,rahul.thakur571@student.edu,BT21625,EN20210625,B
Gaurav Arora,gaurav.arora641@college.ac.in,CE21855,EN20210855,C
Rekha Srivastava,rekha.srivastava254@college.ac.in,MA21277,EN20210277,B
Tushar Saxena,tushar.saxena194@yahoo.com,EC21639,EN20210639,D
Tarun Tripathi,tarun.tripathi855@student.edu,CS24842,EN20240842,C
Swati Luthra,swati.luthra338@outlook.com,CE23138,EN20230138,C
Sachin Chandra,sachin.chandra739@yahoo.com,EC24771,EN20240771,C
Kavya Reddy,kavya.reddy596@outlook.com,IT21380,EN20210380,C
Ashish Gupta,ashish.gupta996@outlook.com,ME24671,EN20240671,A
Vijay Dubey,vijay.dubey973@student.edu,BT23831,EN20230831,D
Vinay Wadhwa,vinay.wadhwa890@yahoo.com,CS23232,EN20230232,D
Rakesh Pillai,rakesh.pillai673@outlook.com,BT24339,EN20240339,C
Zara Murthy,zara.murthy959@yahoo.com,CS20030,EN20200030,D
Anjali Varma,anjali.varma194@student.edu,MA21905,EN20210905,B
Alok Pandey,alok.pandey440@student.edu,CH21612,EN20210612,A
Yash Tandon,yash.tandon537@yahoo.com,EC20078,EN20200078,D
Rekha Nanda,rekha.nanda992@college.ac.in,IT20858,EN20200858,C
Priya Mehta,priya.mehta154@college.ac.in,BT23395,EN20230395,A
Gaurav Grover,gaurav.grover497@student.edu,PH20275,EN20202545,A
Gaurav Rastogi,gaurav.rastogi668@yahoo.com,EE20007,EN20200007,A
Pankaj Kumar,pankaj.kumar538@gmail.com,CS22603,EN20220603,D
Ankita Bansal,ankita.bansal150@student.edu,IT20970,EN20200970,B
Yasmin Choudhary,yasmin.choudhary97@college.ac.in,CE21074,EN20210074,B
Piyush Kumar,piyush.kumar616@college.ac.in,PH22919,EN20220919,B
Sara Bansal,sara.bansal333@gmail.com,MA21184,EN20210184,A
Jyoti Batra,jyoti.batra346@outlook.com,CE21653,EN20210653,D
Usha Anand,usha.anand289@outlook.com,EE20777,EN20200777,A
Rohit Jha,rohit.jha472@yahoo.com,CH24649,EN20240649,D
Ananya Varma,ananya.varma120@student.edu,EC22297,EN20220297,B
Vijay Kohli,vijay.kohli566@outlook.com,CE22832,EN20220832,D
Gaurav Rathore,gaurav.rathore580@student.edu,ME24149,EN20240149,B
Mohit Varma,mohit.varma133@gmail.com,CE22326,EN20220326,C
Sneha Chadha,sneha.chadha454@outlook.com,CE22812,EN20220812,C
Ananya Yadav,ananya.yadav499@outlook.com,EC24731,EN20240731,C
Sachin Wadhwa,sachin.wadhwa944@yahoo.com,CE22128,EN20220128,C
Aarav Rathore,aarav.rathore81@gmail.com,CH22751,EN20220751,B
Akash Pandey,akash.pandey227@yahoo.com,BT20054,EN20200054,A
Kriti Qureshi,kriti.qureshi333@student.edu,BT23952,EN20230952,C
Nidhi Saini,nidhi.saini583@college.ac.in,PH23442,EN20230442,A
